paper_id,pdf_url,first_page_text_path,status,notes
NEURIPS-2019-P0001,https://proceedings.neurips.cc/paper_files/paper/2019/file/00989c20ff1386dc386d8124ebcba1a5-Paper.pdf,data/raw/neurips/2019/first_pages/NEURIPS-2019-P0001.txt,ok,
NEURIPS-2019-P0002,https://proceedings.neurips.cc/paper_files/paper/2019/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf,data/raw/neurips/2019/first_pages/NEURIPS-2019-P0002.txt,ok,
NEURIPS-2019-P0003,https://proceedings.neurips.cc/paper_files/paper/2019/file/00e26af6ac3b1c1c49d7c3d79c60d000-Paper.pdf,data/raw/neurips/2019/first_pages/NEURIPS-2019-P0003.txt,ok,
NEURIPS-2019-P0004,https://proceedings.neurips.cc/paper_files/paper/2019/file/0118a063b4aae95277f0bc1752c75abf-Paper.pdf,data/raw/neurips/2019/first_pages/NEURIPS-2019-P0004.txt,ok,
NEURIPS-2019-P0005,https://proceedings.neurips.cc/paper_files/paper/2019/file/01386bd6d8e091c2ab4c7c7de644d37b-Paper.pdf,data/raw/neurips/2019/first_pages/NEURIPS-2019-P0005.txt,ok,
NEURIPS-2019-P0006,https://proceedings.neurips.cc/paper_files/paper/2019/file/01894d6f048493d2cacde3c579c315a3-Paper.pdf,data/raw/neurips/2019/first_pages/NEURIPS-2019-P0006.txt,ok,
NEURIPS-2019-P0007,https://proceedings.neurips.cc/paper_files/paper/2019/file/018b59ce1fd616d874afad0f44ba338d-Paper.pdf,data/raw/neurips/2019/first_pages/NEURIPS-2019-P0007.txt,ok,
NEURIPS-2019-P0008,https://proceedings.neurips.cc/paper_files/paper/2019/file/01ce84968c6969bdd5d51c5eeaa3946a-Paper.pdf,data/raw/neurips/2019/first_pages/NEURIPS-2019-P0008.txt,ok,
NEURIPS-2019-P0009,https://proceedings.neurips.cc/paper_files/paper/2019/file/01d8bae291b1e4724443375634ccfa0e-Paper.pdf,data/raw/neurips/2019/first_pages/NEURIPS-2019-P0009.txt,ok,
NEURIPS-2019-P0010,https://proceedings.neurips.cc/paper_files/paper/2019/file/021e1ea77bd91aaa0fc4d01a943a654e-Paper.pdf,data/raw/neurips/2019/first_pages/NEURIPS-2019-P0010.txt,ok,
