source_url,source_type,used_for,notes
https://aaai.org/proceeding/aaai-34-2020/,aaai_proceedings_landing_page,sub-track discovery,AAAI proceedings landing page that links to track pages or OJS issues
https://aaai.org/proceeding/vol-34-no-01-aaai-20-technical-tracks-1/,aaai_track_page,"paper titles, author order, paper page URLs, PDF URLs",Vol. 34 No. 01: AAAI-20 Technical Tracks 1
https://aaai.org/proceeding/vol-34-no-02-aaai-20-technical-tracks-2/,aaai_track_page,"paper titles, author order, paper page URLs, PDF URLs",Vol. 34 No. 02: AAAI-20 Technical Tracks 2
https://aaai.org/proceeding/vol-34-no-03-aaai-20-technical-tracks-3/,aaai_track_page,"paper titles, author order, paper page URLs, PDF URLs",Vol. 34 No. 03: AAAI-20 Technical Tracks 3
https://aaai.org/proceeding/vol-34-no-04-aaai-20-technical-tracks-4/,aaai_track_page,"paper titles, author order, paper page URLs, PDF URLs",Vol. 34 No. 04: AAAI-20 Technical Tracks 4
https://aaai.org/proceeding/vol-34-no-05-aaai-20-technical-tracks-5/,aaai_track_page,"paper titles, author order, paper page URLs, PDF URLs",Vol. 34 No. 05: AAAI-20 Technical Tracks 5
https://aaai.org/proceeding/vol-34-no-06-aaai-20-technical-tracks-6/,aaai_track_page,"paper titles, author order, paper page URLs, PDF URLs",Vol. 34 No. 06: AAAI-20 Technical Tracks 6
https://aaai.org/proceeding/vol-34-no-07-aaai-20-technical-tracks-7/,aaai_track_page,"paper titles, author order, paper page URLs, PDF URLs",Vol. 34 No. 07: AAAI-20 Technical Tracks 7
https://aaai.org/proceeding/vol-34-no-08-aaai-20-iaai-20-technical-tracks/,aaai_track_page,"paper titles, author order, paper page URLs, PDF URLs",Vol. 34 No. 08: AAAI-20 / IAAI-20 Technical Tracks
https://aaai.org/proceeding/vol-34-no-09-issue-9-eaai-20-aaai-special-programs/,aaai_track_page,"paper titles, author order, paper page URLs, PDF URLs",Vol. 34 No. 09: Issue 9: EAAI-20 / AAAI Special Programs
