source_url,source_type,used_for,notes
https://aaai.org/proceeding/aaai-39-2025/,aaai_proceedings_landing_page,sub-track discovery,AAAI proceedings landing page that links to track pages or OJS issues
https://ojs.aaai.org/index.php/AAAI/issue/view/624,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 1: AAAI-25 Technical Tracks 1
https://ojs.aaai.org/index.php/AAAI/issue/view/625,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 2: AAAI-25 Technical Tracks 2
https://ojs.aaai.org/index.php/AAAI/issue/view/626,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 3: AAAI-25 Technical Tracks 3
https://ojs.aaai.org/index.php/AAAI/issue/view/627,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 4: AAAI-25 Technical Tracks 4
https://ojs.aaai.org/index.php/AAAI/issue/view/628,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 5: AAAI-25 Technical Tracks 5
https://ojs.aaai.org/index.php/AAAI/issue/view/629,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 6: AAAI-25 Technical Tracks 6
https://ojs.aaai.org/index.php/AAAI/issue/view/630,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 7: AAAI-25 Technical Tracks 7
https://ojs.aaai.org/index.php/AAAI/issue/view/631,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 8: AAAI-25 Technical Tracks 8
https://ojs.aaai.org/index.php/AAAI/issue/view/632,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 9: AAAI-25 Technical Tracks 9
https://ojs.aaai.org/index.php/AAAI/issue/view/633,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 10: AAAI-25 Technical Tracks 10
https://ojs.aaai.org/index.php/AAAI/issue/view/634,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 11: AAAI-25 Technical Tracks 11
https://ojs.aaai.org/index.php/AAAI/issue/view/635,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 12: AAAI-25 Technical Tracks 12
https://ojs.aaai.org/index.php/AAAI/issue/view/636,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 13: AAAI-25 Technical Tracks 13
https://ojs.aaai.org/index.php/AAAI/issue/view/637,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 14: AAAI-25 Technical Tracks 14
https://ojs.aaai.org/index.php/AAAI/issue/view/638,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 15: AAAI-25 Technical Tracks 15
https://ojs.aaai.org/index.php/AAAI/issue/view/639,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 16: AAAI-25 Technical Tracks 16
https://ojs.aaai.org/index.php/AAAI/issue/view/640,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 17: AAAI-25 Technical Tracks 17
https://ojs.aaai.org/index.php/AAAI/issue/view/641,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 18: AAAI-25 Technical Tracks 18
https://ojs.aaai.org/index.php/AAAI/issue/view/642,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 19: AAAI-25 Technical Tracks 19
https://ojs.aaai.org/index.php/AAAI/issue/view/652,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 20: AAAI-25 Technical Tracks 20
https://ojs.aaai.org/index.php/AAAI/issue/view/644,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 21: AAAI-25 Technical Tracks 21
https://ojs.aaai.org/index.php/AAAI/issue/view/645,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 22: AAAI-25 Technical Tracks 22
https://ojs.aaai.org/index.php/AAAI/issue/view/646,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 23: AAAI-25 Technical Tracks 23
https://ojs.aaai.org/index.php/AAAI/issue/view/647,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 24: AAAI-25 Technical Tracks 24
https://ojs.aaai.org/index.php/AAAI/issue/view/648,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 25: AAAI-25 Technical Tracks 25
https://ojs.aaai.org/index.php/AAAI/issue/view/649,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs",No. 26: AAAI-25 AAAI-25 Special Track on AI Alignment
https://ojs.aaai.org/index.php/AAAI/issue/view/650,aaai_ojs_issue_page,"paper titles, author order, paper page URLs, PDF URLs","No. 27: AAAI-25 Special Track on AI for Social Impact, Senior Member Presentations, New Faculty Highlights, Journal Track"
